"Time (s)"	"Acceleration (m/s²)"
4.738038500E1	-5.184901536E-2
4.742059900E1	3.482777059E-2
4.746081400E1	5.099590659E-2
4.750102800E1	-9.958977699E-2
4.754124300E1	-9.464887977E-2
4.758145700E1	-3.896467566E-2
4.762167200E1	6.847089529E-3
4.766188600E1	-2.173760891E-2
4.770210100E1	-5.106958151E-2
4.774231600E1	-9.133526266E-2
4.778253000E1	1.165174663E-2
4.782274500E1	4.039081156E-2
4.786295900E1	-2.217673481E-2
4.790317400E1	-9.282630265E-2
4.794338846E1	-6.408606827E-2
4.798360346E1	-5.109881759E-3
4.802381746E1	-5.113974810E-3
4.806403246E1	-5.415106416E-3
4.810424646E1	-4.852604270E-2
4.814446146E1	-8.968927145E-2
4.818467546E1	-3.176324487E-2
4.822489046E1	3.469386935E-2
4.826510446E1	-2.173819363E-2
4.830531946E1	-8.850228667E-2
4.834553346E1	-8.161719024E-2
4.838574846E1	2.421741307E-2
4.842596246E1	5.221797466E-2
4.846617746E1	-7.037065566E-2
4.850639146E1	-2.591661394E-2
4.854660646E1	-1.364974022E-2
4.858682146E1	1.372984707E-2
4.862703546E1	-2.309650183E-2
4.866725046E1	-7.757968783E-2
4.870746446E1	-5.153092682E-2
4.874767946E1	-2.068920314E-2
4.878789346E1	-7.307148457E-2
4.882810846E1	-4.732327044E-2
4.886832246E1	2.078685164E-2
4.890853746E1	-6.615539789E-3
4.894875133E1	-5.527080595E-2
4.898896633E1	-1.396899819E-1
4.902918033E1	-2.172532976E-2
4.906939533E1	1.059591490E-1
4.910960933E1	1.090096414E-2
4.914982433E1	-1.295017934E-1
4.919003833E1	-7.531740010E-2
4.923025333E1	6.238803685E-2
4.927046733E1	3.170301855E-2
4.931068233E1	-4.776707411E-2
4.935089633E1	-7.605297983E-2
4.939111133E1	-2.096460700E-2
4.943132533E1	-4.431020021E-2
4.947154033E1	3.068384886E-2
4.951175433E1	3.771863401E-2
4.955196933E1	-7.140678227E-2
4.959218333E1	-9.056810796E-2
4.963239833E1	-1.423270762E-2
4.967261233E1	9.743683219E-2
4.971282733E1	2.588679314E-2
4.975304133E1	-9.820398688E-2
4.979325633E1	-9.491083503E-2
4.983347033E1	-3.099959850E-2
4.987368533E1	2.378179550E-2
4.991389933E1	-3.130891621E-2
4.995411438E1	-1.024011183E-1
4.999432838E1	-1.151229054E-1
5.003454338E1	8.964775622E-2
5.007475738E1	3.860390246E-2
5.011497238E1	-5.210044563E-2
5.015518638E1	-7.635060310E-2
5.019540138E1	-5.330204844E-2
5.023561538E1	3.815717518E-2
5.027583038E1	-1.512967050E-2
5.031604438E1	-6.751779914E-2
5.035625938E1	-1.366722339E-1
5.039647338E1	-9.939740360E-2
5.043668838E1	-1.198328376E-2
5.047690237E1	3.846064568E-2
5.051711738E1	5.237877309E-2
5.055733138E1	-3.159601450E-2
5.059754638E1	-4.552057385E-2
5.063776038E1	3.731693029E-3
5.067797538E1	6.660154045E-2
5.071818938E1	1.764806628E-2
5.075840438E1	-5.375754654E-2
5.079861838E1	-6.198984146E-2
5.083883338E1	2.168439925E-2
5.087904738E1	-1.769133568E-2
